name,email,phone,address,gender,qualification,experience_years,rating,fees_inr,success_rate,position,img_url,legal_issues
Ranveer Ben,mohiniborah@example.org,+915607038996,"H.No. 48, Majumdar Circle, Yamunanagar-564329",other,Advocate,1,4.75,15147,0.9,Legal Advisor,https://randomuser.me/api/portraits/women/67.jpg,child_custody|cyber_bullying
Lila Taneja,vanya84@example.com,+915870268807,"187, Krishna Road, Kumbakonam 345340",other,LLB,11,3.83,2626,0.82,Associate Lawyer,https://randomuser.me/api/portraits/women/75.jpg,property_dispute
Warjas More,kuruvillarachit@example.net,+919905002843,"H.No. 24, Dhar Circle, Deoghar-278051",female,Senior Advocate,38,3.92,3650,0.89,Senior Lawyer,https://randomuser.me/api/portraits/women/50.jpg,workplace_discrimination|rent_eviction|domestic_violence
Bhavini Nagi,emallick@example.net,0126931575,"H.No. 50, Pau Road, Ahmedabad-826610",female,Senior Advocate,32,3.5,2435,0.93,Legal Advisor,https://randomuser.me/api/portraits/women/53.jpg,consumer_rights|FIR_denial|workplace_discrimination
Imaran Pal,aadi81@example.com,08723090459,"654, Gara Ganj, Surat-951847",other,LLM,26,3.78,4735,0.91,Legal Advisor,https://randomuser.me/api/portraits/women/75.jpg,labor_rights_violation|cyber_crime
Gaurav Bhatnagar,thamannidhi@example.com,00227909885,"228, Warrior Nagar, Durgapur 896679",other,Advocate,9,4.65,8193,0.97,Partner,https://randomuser.me/api/portraits/women/72.jpg,child_custody
Devansh Pillay,ekani04@example.org,8573990070,"48/240, Narain, Kamarhati-816812",other,PhD in Law,34,3.69,4751,0.78,Partner,https://randomuser.me/api/portraits/women/63.jpg,FIR_denial|property_dispute|bribery_corruption
Tamanna Mangal,jason62@example.com,05276973771,"H.No. 56, Dhaliwal Road, Kolkata-447407",male,LLB,40,3.24,10835,0.69,Consultant,https://randomuser.me/api/portraits/men/18.jpg,dowry|child_custody|harassment
Tanish Kamdar,wsrinivas@example.org,9980431524,"27/411, Oza Path, North Dumdum 393677",female,LLB,13,4.71,8172,0.84,Legal Advisor,https://randomuser.me/api/portraits/women/94.jpg,labor_rights_violation|cyber_crime|workplace_discrimination
Neel Rege,qgolla@example.org,4577215564,"407, Gola Path, Cuttack-212043",female,PhD in Law,29,4.62,7327,0.82,Partner,https://randomuser.me/api/portraits/women/84.jpg,cyber_bullying
David Shankar,maanasmand@example.net,+916487856372,"30/497, Raghavan Marg, Kanpur-998545",female,LLM,21,3.27,16238,0.97,Consultant,https://randomuser.me/api/portraits/women/30.jpg,dowry|labor_rights_violation|FIR_denial
Bakhshi Konda,darsh52@example.org,7036347408,"45, Subramanian Path, Karaikudi-808548",male,LLB,12,3.74,4151,0.61,Partner,https://randomuser.me/api/portraits/men/12.jpg,consumer_rights|child_custody|workplace_discrimination
Orinder Natt,lmaharaj@example.org,08610478329,"H.No. 586, Babu Circle, Amaravati-309198",female,LLB,19,4.72,19996,0.56,Legal Advisor,https://randomuser.me/api/portraits/women/23.jpg,FIR_denial
Vasana Mahal,abeer11@example.net,07948409202,"H.No. 471, Agate Nagar, Tadepalligudem-055401",female,Senior Advocate,13,3.22,18637,0.77,Legal Advisor,https://randomuser.me/api/portraits/women/88.jpg,labor_rights_violation|dowry|child_custody
Xavier Prashad,ravelelijah@example.org,+912372478494,"42/72, Sachdeva Ganj, Guntakal-575979",male,Senior Advocate,16,3.02,4037,0.52,Associate Lawyer,https://randomuser.me/api/portraits/men/58.jpg,FIR_denial
Nirja Sant,amanne@example.com,6025182440,"H.No. 58, Soman Zila, Dindigul-777714",male,Senior Advocate,19,4.56,2187,0.71,Partner,https://randomuser.me/api/portraits/men/10.jpg,bribery_corruption|property_dispute
Anamika Keer,imisra@example.com,8068630446,"92/51, Kar Marg, Akola-262238",male,Advocate,29,3.22,7444,0.91,Partner,https://randomuser.me/api/portraits/men/91.jpg,bribery_corruption
Chanchal Sankar,samar08@example.com,7849966681,"61/815, Virk Road, Noida 030428",male,PhD in Law,36,4.1,14548,0.96,Consultant,https://randomuser.me/api/portraits/men/25.jpg,child_custody|FIR_denial
Balveer Sani,fiyaz90@example.net,+913083060460,"101, Dhar Chowk, Maheshtala 597717",male,PhD in Law,31,3.47,11251,0.78,Partner,https://randomuser.me/api/portraits/men/75.jpg,workplace_discrimination|property_dispute
Madhavi Keer,noriguneet@example.org,09507457320,"433, Shanker Street, Gudivada 213862",male,Senior Advocate,14,4.92,7417,0.66,Legal Advisor,https://randomuser.me/api/portraits/men/24.jpg,workplace_discrimination|labor_rights_violation|child_custody
Qadim Mukhopadhyay,tgulati@example.com,07323540803,"H.No. 42, More Ganj, Buxar 473310",female,LLB,1,4.79,16643,0.89,Consultant,https://randomuser.me/api/portraits/women/14.jpg,consumer_rights|rent_eviction|domestic_violence
Chandresh Sridhar,krishnabachittar@example.com,07574925035,"H.No. 93, Parikh, Ambattur 032054",other,LLB,1,4.69,9642,0.66,Consultant,https://randomuser.me/api/portraits/women/32.jpg,bribery_corruption|harassment|cyber_bullying
Robert Chaudry,ramanathanchatura@example.net,06991422884,"H.No. 02, Gera Marg, Anantapur 752950",other,PhD in Law,37,4.04,16450,0.84,Legal Advisor,https://randomuser.me/api/portraits/women/87.jpg,workplace_discrimination|bribery_corruption|domestic_violence
Arunima Kapur,kashishgoyal@example.com,4284328608,"83/41, Karnik Road, Orai-567807",female,Senior Advocate,27,3.89,6110,0.74,Associate Lawyer,https://randomuser.me/api/portraits/women/5.jpg,consumer_rights|dowry
Unni Ramakrishnan,tdate@example.net,+919141255514,"82/79, Brahmbhatt Chowk, Panchkula-341473",female,LLM,26,3.26,7186,0.91,Consultant,https://randomuser.me/api/portraits/women/72.jpg,bribery_corruption|consumer_rights|cyber_bullying
Utkarsh Agrawal,chavvi87@example.org,8241059096,"32, Kant Nagar, Coimbatore 755832",female,Advocate,22,3.46,13659,0.54,Partner,https://randomuser.me/api/portraits/women/50.jpg,harassment|property_dispute
Nandini Reddy,yagnesh01@example.com,04131371536,"13, Dugar Path, Thiruvananthapuram 090435",female,LLM,10,4.68,10978,0.89,Legal Advisor,https://randomuser.me/api/portraits/women/55.jpg,rent_eviction
Chatresh Modi,devikabalakrishnan@example.org,+917575787634,"02/493, Sarkar Nagar, Shahjahanpur 586955",other,Senior Advocate,4,4.6,5352,0.73,Senior Lawyer,https://randomuser.me/api/portraits/women/97.jpg,child_custody|dowry
Jagdish Singhal,azaan91@example.org,+918021552679,"H.No. 93, Dash, Bareilly 812463",male,LLM,38,4.66,14433,0.7,Legal Advisor,https://randomuser.me/api/portraits/men/67.jpg,rent_eviction
Yamini Sarma,unigam@example.net,0382459622,"998, Mahajan Street, Bathinda 899748",other,LLM,14,3.88,14652,0.99,Consultant,https://randomuser.me/api/portraits/women/31.jpg,workplace_discrimination|cyber_crime|domestic_violence
Manthan Halder,kulkarniaachal@example.net,+911194168628,"98, Virk Marg, Bokaro 457293",other,PhD in Law,29,4.43,8478,0.55,Senior Lawyer,https://randomuser.me/api/portraits/women/72.jpg,labor_rights_violation|harassment
Yashvi Khatri,fsachdev@example.com,1557890310,"33/90, Sachdeva Circle, Meerut-797910",male,LLM,10,3.19,16236,0.91,Partner,https://randomuser.me/api/portraits/men/79.jpg,domestic_violence|cyber_bullying|rent_eviction
Pratyush Dara,leenabasu@example.org,+916860323683,"78/858, Sarna Marg, Mumbai-234909",other,Senior Advocate,30,3.21,16949,0.65,Consultant,https://randomuser.me/api/portraits/women/25.jpg,rent_eviction|consumer_rights|bribery_corruption
Balveer Rattan,deoldalaja@example.com,07673114246,"58, Balay Zila, Thrissur-975086",other,Senior Advocate,7,4.83,17549,0.8,Senior Lawyer,https://randomuser.me/api/portraits/women/21.jpg,consumer_rights|FIR_denial|rent_eviction
Tanish Bir,gangaganesan@example.com,7874590306,"45/90, Ramakrishnan Chowk, Ujjain-550705",other,LLB,19,4.49,8362,0.82,Associate Lawyer,https://randomuser.me/api/portraits/women/99.jpg,rent_eviction|child_custody
Triveni Sidhu,utkarsh30@example.org,02040600801,"575, Pathak Zila, Jamnagar 437319",other,LLB,29,3.0,1782,0.74,Legal Advisor,https://randomuser.me/api/portraits/women/55.jpg,cyber_crime
Vanya Narang,ubali@example.org,7103728192,"82, Choudhary Circle, Madhyamgram 906892",other,LLB,38,4.63,15413,0.67,Partner,https://randomuser.me/api/portraits/women/74.jpg,workplace_discrimination|labor_rights_violation
Pallavi Balay,rachana39@example.org,1603783003,"88/23, Hari Chowk, Jehanabad 799186",other,PhD in Law,13,3.53,7089,0.95,Associate Lawyer,https://randomuser.me/api/portraits/women/66.jpg,workplace_discrimination|bribery_corruption|labor_rights_violation
Nachiket Barman,krishnalavanya@example.net,2597152244,"54/53, Pathak Circle, Anantapuram-779057",male,Senior Advocate,40,4.28,12870,0.58,Partner,https://randomuser.me/api/portraits/men/68.jpg,dowry|workplace_discrimination|FIR_denial
Idika Raman,vamakshimenon@example.net,0853485366,"50/895, Murthy, Guna 484132",female,Advocate,27,3.03,17004,0.62,Legal Advisor,https://randomuser.me/api/portraits/women/70.jpg,dowry
Wishi Prasad,logan46@example.com,+916772415145,"54/96, Wable Street, Nadiad-334512",female,LLM,39,4.75,18887,0.91,Associate Lawyer,https://randomuser.me/api/portraits/women/4.jpg,bribery_corruption|property_dispute|harassment
Hemang Magar,falguni05@example.net,3197718901,"26/886, Pingle Ganj, Guntakal 865888",male,LLM,13,3.29,16762,0.93,Senior Lawyer,https://randomuser.me/api/portraits/men/60.jpg,consumer_rights|cyber_crime|labor_rights_violation
Hamsini Purohit,jai19@example.org,+917064720060,"H.No. 23, Sastry Nagar, Ambarnath 869188",male,LLM,12,4.25,9637,0.72,Consultant,https://randomuser.me/api/portraits/men/15.jpg,dowry
Aradhana Wable,bakhshi26@example.net,+911023376772,"52/42, Tak Road, Farrukhabad 109694",other,PhD in Law,4,3.5,7945,0.62,Senior Lawyer,https://randomuser.me/api/portraits/women/7.jpg,workplace_discrimination|dowry|consumer_rights
Abdul Tiwari,jkala@example.org,+912342905506,"H.No. 77, Dua Nagar, Imphal 141956",female,Advocate,19,3.86,18893,0.55,Legal Advisor,https://randomuser.me/api/portraits/women/88.jpg,bribery_corruption
Madhav Bhatnagar,omkaar88@example.org,+913176058026,"92/12, Das Marg, Kakinada-891461",female,PhD in Law,26,3.77,9853,0.91,Consultant,https://randomuser.me/api/portraits/women/5.jpg,domestic_violence|rent_eviction
Qarin Deol,charvimital@example.org,+913757741849,"H.No. 189, Bahri Chowk, Bhubaneswar 109206",male,Advocate,6,3.75,2661,0.68,Associate Lawyer,https://randomuser.me/api/portraits/men/11.jpg,cyber_bullying|child_custody
Nimrat Suresh,gabriel55@example.org,06539806879,"H.No. 916, Palan Marg, Surat-917077",female,LLM,24,3.82,6810,0.88,Consultant,https://randomuser.me/api/portraits/women/55.jpg,rent_eviction
Bina Acharya,kalpit13@example.com,0095868856,"54/758, Kakar Marg, Muzaffarpur-628795",male,PhD in Law,23,3.72,8510,0.63,Senior Lawyer,https://randomuser.me/api/portraits/men/62.jpg,workplace_discrimination
Yatan Sehgal,tsur@example.net,7300915121,"35, Toor Zila, Anand-170906",male,Advocate,32,4.81,19237,0.52,Legal Advisor,https://randomuser.me/api/portraits/men/59.jpg,labor_rights_violation
Ojas Raj,jdalia@example.org,+914495154852,"16/44, Walla Chowk, Miryalaguda-385383",female,Advocate,27,4.26,10763,0.63,Consultant,https://randomuser.me/api/portraits/women/19.jpg,property_dispute
Amara Pal,naikucchal@example.net,7368433537,"68/954, Rastogi Zila, Kadapa-517221",female,Advocate,11,4.3,13283,0.83,Consultant,https://randomuser.me/api/portraits/women/92.jpg,labor_rights_violation|rent_eviction
Urvi Char,avni58@example.net,5103880184,"26/27, Mital Circle, Mau 992903",female,PhD in Law,4,4.13,2183,0.75,Associate Lawyer,https://randomuser.me/api/portraits/women/17.jpg,property_dispute|consumer_rights
Lopa Vala,bahadurjitramanathan@example.net,+913147282445,"H.No. 14, Kothari Circle, Gandhinagar-923642",female,PhD in Law,1,4.47,13537,0.96,Legal Advisor,https://randomuser.me/api/portraits/women/21.jpg,bribery_corruption|workplace_discrimination|FIR_denial
Vasudha Suri,badaljanya@example.net,07837339290,"H.No. 09, Nadig Marg, Tenali-195225",other,LLB,19,4.43,19135,0.82,Legal Advisor,https://randomuser.me/api/portraits/women/12.jpg,dowry
Vinaya Dalal,vasana54@example.com,7320207128,"62, Deol Path, Eluru 574453",male,LLM,10,4.14,17036,0.65,Senior Lawyer,https://randomuser.me/api/portraits/men/91.jpg,rent_eviction|workplace_discrimination
Varenya Pillay,saumyakala@example.net,+919641750291,"14/019, Nadkarni Road, Jamnagar-929875",male,Senior Advocate,18,4.68,3762,0.59,Senior Lawyer,https://randomuser.me/api/portraits/men/33.jpg,bribery_corruption
Umang Gole,anmol49@example.org,+917483212587,"H.No. 08, Anne Path, Rajkot 818627",female,Senior Advocate,31,4.73,5451,0.92,Senior Lawyer,https://randomuser.me/api/portraits/women/13.jpg,domestic_violence
Veer Rana,tarabalvan@example.net,09596882880,"59/78, Shanker Zila, Kanpur-773899",other,Senior Advocate,14,4.23,7106,0.71,Senior Lawyer,https://randomuser.me/api/portraits/women/15.jpg,labor_rights_violation|consumer_rights|cyber_crime
Bachittar Brar,fboase@example.org,6138437069,"53, Ghose Marg, Kulti 459635",male,LLB,33,4.48,3872,0.87,Associate Lawyer,https://randomuser.me/api/portraits/men/12.jpg,cyber_bullying
Manthan Parmar,vaidyavasana@example.com,6940896770,"485, Bhardwaj Road, Jamshedpur-237796",other,LLB,16,4.82,9772,0.51,Associate Lawyer,https://randomuser.me/api/portraits/women/50.jpg,cyber_bullying|FIR_denial
Vrishti Bhatti,panini73@example.com,5194536328,"H.No. 194, Borra Road, Aizawl 839753",female,LLM,28,3.47,15324,0.64,Senior Lawyer,https://randomuser.me/api/portraits/women/1.jpg,dowry|bribery_corruption
Pranit Vyas,varkeydarpan@example.net,0903909052,"653, Garde Circle, Aligarh-475613",male,PhD in Law,24,3.74,9741,0.73,Legal Advisor,https://randomuser.me/api/portraits/men/46.jpg,harassment
Hema Thakur,gopalayushman@example.net,02873002782,"99, Bhatt Zila, Giridih-527772",male,LLB,27,3.82,1343,0.93,Consultant,https://randomuser.me/api/portraits/men/68.jpg,dowry
Fitan Vala,bsani@example.net,+911092362006,"H.No. 526, Puri Circle, Dharmavaram-474540",male,LLM,29,4.69,7065,0.9,Partner,https://randomuser.me/api/portraits/men/93.jpg,consumer_rights
Tara Ravi,triyabatra@example.com,2426058524,"H.No. 66, Dey Ganj, Barasat-769847",male,PhD in Law,38,4.32,8625,0.9,Consultant,https://randomuser.me/api/portraits/men/55.jpg,rent_eviction
Vaishnavi Kala,dinbenjamin@example.org,08270500435,"78/236, Pau Zila, Jalgaon-938874",other,Senior Advocate,1,4.57,8802,0.82,Senior Lawyer,https://randomuser.me/api/portraits/women/30.jpg,labor_rights_violation
Indali Brahmbhatt,vsahni@example.net,04518483950,"808, Bhavsar Marg, Bhubaneswar-639846",other,PhD in Law,27,3.11,11791,0.88,Legal Advisor,https://randomuser.me/api/portraits/women/53.jpg,bribery_corruption|cyber_bullying
Kashish Ramesh,aadhya57@example.org,07981522858,"73/53, Chanda Marg, Pali 656656",other,LLM,4,3.93,2981,0.75,Partner,https://randomuser.me/api/portraits/women/30.jpg,harassment|workplace_discrimination
Bimala Lata,walipriya@example.org,05619285746,"69, Raghavan Circle, Indore 721661",other,Advocate,7,3.82,4296,0.99,Senior Lawyer,https://randomuser.me/api/portraits/women/29.jpg,dowry|rent_eviction|property_dispute
Shivansh Bava,bgour@example.com,+917574304733,"15, Pandey Zila, Rajpur Sonarpur-552724",male,LLM,17,4.0,13706,0.64,Senior Lawyer,https://randomuser.me/api/portraits/men/47.jpg,consumer_rights|workplace_discrimination|cyber_crime
Owen Raval,wnaidu@example.org,04265547706,"22/781, Panchal Ganj, Navi Mumbai 288957",female,Senior Advocate,38,4.43,13750,0.87,Senior Lawyer,https://randomuser.me/api/portraits/women/74.jpg,property_dispute|consumer_rights
Aahana Sankaran,chaudhrypanini@example.com,+910295748314,"H.No. 889, Vala Marg, North Dumdum 977671",male,Advocate,3,3.99,3677,0.69,Senior Lawyer,https://randomuser.me/api/portraits/men/60.jpg,dowry|rent_eviction
Ira Bora,perinaveen@example.org,9421305731,"374, Varkey Marg, Belgaum-215793",male,Senior Advocate,13,4.04,6426,0.98,Partner,https://randomuser.me/api/portraits/men/5.jpg,labor_rights_violation|FIR_denial
Yashasvi Saha,xnagar@example.org,+913707399477,"73/141, Narasimhan Circle, Tadipatri-662733",other,Advocate,31,4.57,17771,0.64,Legal Advisor,https://randomuser.me/api/portraits/women/64.jpg,bribery_corruption
Chakradhar Manda,jayaramanvasudha@example.com,1292188445,"H.No. 665, Ramesh Nagar, Kochi 692421",male,LLM,29,3.32,7529,0.59,Consultant,https://randomuser.me/api/portraits/men/69.jpg,dowry|cyber_crime|child_custody
Vrishti Borah,nigampallavi@example.org,9133640024,"76/875, Vig Circle, Tadepalligudem-475511",other,LLB,2,4.94,16393,0.56,Consultant,https://randomuser.me/api/portraits/women/77.jpg,consumer_rights|rent_eviction
Ekantika Sarkar,kdutt@example.net,02643865978,"027, Soman Ganj, Machilipatnam 598239",male,Senior Advocate,21,4.09,9799,0.53,Consultant,https://randomuser.me/api/portraits/men/22.jpg,child_custody|labor_rights_violation
Neelima Chokshi,lekhashankar@example.net,+918345461320,"41/392, Kar Path, Tumkur-358283",male,Advocate,20,4.74,9179,0.83,Partner,https://randomuser.me/api/portraits/men/9.jpg,rent_eviction
Madhavi Garde,lopadada@example.org,1730156422,"483, Dey Path, Bally 954868",male,LLM,33,4.26,9557,0.95,Legal Advisor,https://randomuser.me/api/portraits/men/31.jpg,bribery_corruption
Reva Devan,vivaan76@example.org,+917364969721,"845, Choudhry Path, Madanapalle 736137",male,Advocate,40,3.18,17074,0.78,Legal Advisor,https://randomuser.me/api/portraits/men/88.jpg,domestic_violence
Kamala Chaudhuri,sherecharan@example.org,04487543514,"332, Ratta Road, Malegaon-117222",other,PhD in Law,24,4.17,10467,0.88,Associate Lawyer,https://randomuser.me/api/portraits/women/90.jpg,labor_rights_violation
Faqid Dewan,jagviradhakrishnan@example.com,+913626099601,"02/64, Sethi Chowk, Tinsukia-510044",other,PhD in Law,15,4.57,4630,0.83,Senior Lawyer,https://randomuser.me/api/portraits/women/96.jpg,domestic_violence|FIR_denial
Urmi Gola,qnadig@example.net,+914282321333,"54, Bhasin Path, Alwar-227473",male,LLM,29,4.51,15598,0.67,Partner,https://randomuser.me/api/portraits/men/12.jpg,child_custody|workplace_discrimination|cyber_bullying
Jhalak Gaba,mkorpal@example.net,05032520426,"90, Badami Path, Kumbakonam 400595",other,LLM,12,4.29,12230,0.68,Consultant,https://randomuser.me/api/portraits/women/36.jpg,bribery_corruption|labor_rights_violation|cyber_crime
Tanish Chhabra,danisamesh@example.org,+914179893506,"23/444, Prasad Nagar, Bhiwandi-336031",other,Senior Advocate,2,3.93,18902,0.63,Senior Lawyer,https://randomuser.me/api/portraits/women/18.jpg,property_dispute
Aryan Morar,kashyapekaja@example.net,+918812659843,"H.No. 03, Bhagat Road, Lucknow 908986",female,LLB,18,3.29,1668,0.53,Senior Lawyer,https://randomuser.me/api/portraits/women/65.jpg,labor_rights_violation
Varsha Sahota,ranbirrastogi@example.net,9586843382,"H.No. 730, Mane Marg, Kharagpur-291539",male,Advocate,34,4.24,2847,0.54,Consultant,https://randomuser.me/api/portraits/men/38.jpg,labor_rights_violation
Warhi Khurana,henryarora@example.com,01202710697,"H.No. 022, Bhatti Zila, Berhampur-401527",other,PhD in Law,9,3.25,7040,0.71,Associate Lawyer,https://randomuser.me/api/portraits/women/80.jpg,child_custody|workplace_discrimination
Owen Balan,umang05@example.com,+910600332947,"78/76, Bala Street, Nagaon-984340",female,LLM,37,3.12,8188,0.99,Consultant,https://randomuser.me/api/portraits/women/79.jpg,domestic_violence|FIR_denial
Jagrati Mishra,obhavsar@example.org,+916042690870,"39/56, Bhasin Circle, Udaipur 365643",other,Senior Advocate,16,4.53,6640,0.9,Legal Advisor,https://randomuser.me/api/portraits/women/53.jpg,labor_rights_violation|consumer_rights
Michael Choudhary,haritakohli@example.org,4211134886,"00/94, Chanda Path, Malegaon 547423",male,Senior Advocate,9,4.71,8361,0.97,Partner,https://randomuser.me/api/portraits/men/75.jpg,cyber_bullying
Bimala Dutt,ckeer@example.com,6771974417,"54/939, Iyer Marg, Morena 501094",other,PhD in Law,40,4.82,11855,0.9,Associate Lawyer,https://randomuser.me/api/portraits/women/46.jpg,cyber_crime
Oviya Prakash,mramanathan@example.org,8333576579,"H.No. 869, Lalla Marg, Thiruvananthapuram 041545",female,Senior Advocate,10,4.0,16392,0.91,Associate Lawyer,https://randomuser.me/api/portraits/women/85.jpg,bribery_corruption
Ekiya Borra,jchacko@example.org,06133175215,"15/46, Vohra, Jalandhar 392434",male,LLB,3,4.48,7183,0.53,Consultant,https://randomuser.me/api/portraits/men/51.jpg,property_dispute
Chasmum Kale,anjali21@example.net,05405489168,"08/001, Sunder Circle, Bellary 050746",other,PhD in Law,2,3.26,14695,0.64,Senior Lawyer,https://randomuser.me/api/portraits/women/25.jpg,cyber_bullying|harassment|child_custody
Waida Viswanathan,agastyamisra@example.net,1671915189,"H.No. 46, Borah, Bardhaman 428407",male,PhD in Law,39,4.61,15977,0.75,Legal Advisor,https://randomuser.me/api/portraits/men/60.jpg,property_dispute
Janaki Talwar,tanishamble@example.com,+912441996212,"50/02, Dara Road, Bathinda 938147",other,LLB,14,3.73,9206,0.97,Legal Advisor,https://randomuser.me/api/portraits/women/46.jpg,domestic_violence|harassment|dowry
Aarush Contractor,venkataramanikbal@example.com,1157898301,"102, Bail Marg, Siwan-559763",female,LLB,7,3.93,5193,0.88,Associate Lawyer,https://randomuser.me/api/portraits/women/96.jpg,workplace_discrimination
Yuvraj Hegde,wpal@example.com,3426196172,"H.No. 58, Dave Path, Ludhiana 620849",female,PhD in Law,14,4.22,14454,0.54,Senior Lawyer,https://randomuser.me/api/portraits/women/91.jpg,domestic_violence|cyber_bullying|cyber_crime
Tanish Sarkar,karnikaarav@example.net,07911525063,"71/977, Date Street, Kamarhati 368217",other,LLM,11,3.16,9581,0.56,Associate Lawyer,https://randomuser.me/api/portraits/women/60.jpg,bribery_corruption|child_custody
Ayushman Chhabra,khalsavinaya@example.com,07927229384,"46/968, Loyal Nagar, Darbhanga-571559",male,LLM,24,3.79,18153,0.99,Senior Lawyer,https://randomuser.me/api/portraits/men/80.jpg,child_custody|bribery_corruption|cyber_bullying
Chanakya Sahota,zaid36@example.com,5342491948,"15, Kunda Road, Ambarnath 950728",female,LLM,9,4.91,7653,0.61,Partner,https://randomuser.me/api/portraits/women/7.jpg,property_dispute
Eiravati Chadha,ahluwaliadakshesh@example.com,+916046534501,"62/817, Gade Street, Anantapuram 087934",male,PhD in Law,34,4.08,9770,0.95,Legal Advisor,https://randomuser.me/api/portraits/men/7.jpg,labor_rights_violation|rent_eviction
Luke Ray,sharachit@example.net,09407433166,"H.No. 065, Korpal Circle, Anand-389186",female,PhD in Law,2,3.53,19504,0.84,Partner,https://randomuser.me/api/portraits/women/24.jpg,consumer_rights|bribery_corruption|workplace_discrimination
Mason Bhatti,butalarishi@example.org,+915579636316,"H.No. 87, Oommen Ganj, Amaravati-675098",male,LLM,6,3.15,11641,0.82,Senior Lawyer,https://randomuser.me/api/portraits/men/46.jpg,labor_rights_violation
Bishakha Rao,jpant@example.com,9786445001,"29/10, Sami Circle, Srinagar 567677",other,LLM,19,4.13,6548,0.5,Partner,https://randomuser.me/api/portraits/women/33.jpg,child_custody|consumer_rights
Alexander Konda,jairaj58@example.com,6971840234,"H.No. 86, Dora Road, Allahabad 139942",male,Advocate,21,4.27,6936,0.62,Consultant,https://randomuser.me/api/portraits/men/91.jpg,labor_rights_violation
Gayathri Jayaraman,harshil39@example.org,9123819551,"H.No. 67, Kurian Nagar, Munger-762809",female,LLB,17,3.16,18810,0.65,Partner,https://randomuser.me/api/portraits/women/52.jpg,domestic_violence|rent_eviction
Kalpit Sankaran,nmann@example.org,+915864179636,"36/76, Morar Chowk, Patiala 040483",female,Advocate,25,4.53,4905,0.85,Senior Lawyer,https://randomuser.me/api/portraits/women/79.jpg,property_dispute
Vritti Palan,deolaishani@example.org,+917261116711,"76, Shroff Street, Bhilwara 456242",male,Advocate,15,3.9,7970,0.91,Associate Lawyer,https://randomuser.me/api/portraits/men/76.jpg,cyber_bullying
Indira Ramaswamy,nitaramann@example.com,+918956713158,"24, Deo Ganj, Sambalpur 862155",female,LLM,28,4.7,3545,0.67,Consultant,https://randomuser.me/api/portraits/women/51.jpg,child_custody
Matthew Chakraborty,isaiah83@example.com,+913292352885,"92/39, Savant Chowk, Hapur 976138",female,Advocate,34,3.84,16704,0.89,Consultant,https://randomuser.me/api/portraits/women/15.jpg,cyber_crime
Jatin Sha,xnath@example.net,+914021188448,"12, Bava Nagar, Katni 114937",male,Advocate,36,4.22,14335,0.98,Senior Lawyer,https://randomuser.me/api/portraits/men/5.jpg,consumer_rights|rent_eviction|cyber_crime
Nidra Babu,karnikethan@example.com,9841459974,"25/47, Gara, Hospet 625356",other,LLM,32,4.11,13297,0.53,Associate Lawyer,https://randomuser.me/api/portraits/women/95.jpg,property_dispute
Bimala Ravel,zinal95@example.net,6359041024,"68/140, Balasubramanian Path, Jamalpur-040969",female,Advocate,9,3.96,14378,0.58,Senior Lawyer,https://randomuser.me/api/portraits/women/36.jpg,FIR_denial|child_custody|dowry
Ekalinga Wable,harsh90@example.net,05693687059,"14, Bhagat Street, Hubli–Dharwad 951674",male,PhD in Law,33,3.77,11948,0.81,Associate Lawyer,https://randomuser.me/api/portraits/men/4.jpg,FIR_denial|labor_rights_violation|consumer_rights
Fariq Wali,dhari@example.org,06508252212,"89, Narayan Zila, Silchar-332616",female,Senior Advocate,12,4.03,3907,0.85,Legal Advisor,https://randomuser.me/api/portraits/women/98.jpg,consumer_rights
Ishwar Sampath,gopalprashad@example.net,05824393301,"H.No. 723, Chand Ganj, Baranagar-634457",other,Senior Advocate,8,3.82,12751,0.62,Senior Lawyer,https://randomuser.me/api/portraits/women/59.jpg,dowry|labor_rights_violation|child_custody
Lucky Yohannan,boraanvi@example.com,+917954683435,"H.No. 41, Pathak Street, Rajahmundry 898535",other,PhD in Law,4,3.39,8368,0.58,Partner,https://randomuser.me/api/portraits/women/77.jpg,property_dispute
Zehaan Chanda,kallajagat@example.net,+916978141634,"06/849, Sarna Path, Chandrapur 751557",female,LLM,20,4.1,1028,0.75,Legal Advisor,https://randomuser.me/api/portraits/women/39.jpg,child_custody|domestic_violence|workplace_discrimination
Tanvi Kumer,jbanik@example.net,9056303519,"H.No. 129, Bedi Chowk, Phagwara-721756",male,Advocate,9,3.3,14640,0.93,Partner,https://randomuser.me/api/portraits/men/25.jpg,bribery_corruption
Nathan Patla,sarthak91@example.com,+915416632288,"189, Chawla Marg, Muzaffarpur 218111",female,Advocate,18,4.33,18925,0.7,Legal Advisor,https://randomuser.me/api/portraits/women/20.jpg,child_custody
Zinal Soni,niharikadave@example.com,00109591607,"987, Sanghvi Street, Kottayam 325455",other,Senior Advocate,8,4.58,8046,0.66,Legal Advisor,https://randomuser.me/api/portraits/women/3.jpg,cyber_bullying|dowry
Zehaan Shankar,hwali@example.com,+914580563021,"763, Wali Circle, Anantapur-184584",female,PhD in Law,30,4.65,4654,0.98,Partner,https://randomuser.me/api/portraits/women/94.jpg,cyber_bullying|labor_rights_violation|rent_eviction
